Eesnimi;Perenimi;Sugu;Sünniaeg;Surnud;Asula;Tüüp;Maakond
Keimo;Kurvits;M;1934-02-12;2003-09-26;;;
Meeli;Tuul;N;1945-04-13;1991-05-06;;;
Keidy;Konovalov;N;2016-11-02;0000-00-00;Igrise;küla;Põlvamaa
Anastassia;Arro;N;1951-10-21;0000-00-00;Vihterpalu;küla;Harjumaa
Allan;Kurg;M;1937-06-30;1949-08-14;;;
Hugo;Lehiste;M;1917-07-22;1961-06-17;;;
Heikki;Rumjantsev;M;1904-07-22;1928-08-12;;;
Andrea;Alas;N;1933-11-04;0000-00-00;Paadenurme;küla;Ida-Virumaa
Rebeka;Kala;N;1969-12-22;1990-09-24;;;
Taivo;Klavan;M;1956-11-27;0000-00-00;Korkuna;küla;Valgamaa
Juulia;Toom;N;1949-02-04;2009-10-19;;;
Karl-Martin;Smirnov;M;1984-10-08;0000-00-00;Ollepa;küla;Järvamaa
Simona;Laanemets;N;2017-04-06;2018-12-30;;;
Alesja;Kaljuvee;N;1903-06-27;1971-04-17;;;
Gloria;Romanov;N;1969-01-14;0000-00-00;Käesla;küla;Saaremaa
Reno;Kuus;M;1951-12-11;0000-00-00;Pupastvere;küla;Tartumaa
Edvard;Simm;M;1952-09-08;1953-03-08;;;
Karlis;Vares;M;1996-05-28;0000-00-00;Adraku;küla;Ida-Virumaa
Olga;Roos;N;1978-06-15;2006-06-16;;;
Alexandre;Kohv;M;1945-12-27;0000-00-00;Võhma;küla;Saaremaa
Kaidi;Viira;N;2014-03-10;2019-08-03;;;
Kadri-Liis;Tamme;N;1919-06-25;1982-04-26;;;
Daniil;Koppel;M;1905-05-04;1953-08-02;;;
Helerin;Ader;N;1907-06-12;1922-04-16;;;
Ivika;Talts;N;1996-08-14;0000-00-00;Koigi;küla;Raplamaa
Brittany;Kont;N;2013-08-15;0000-00-00;Üsse;küla;Läänemaa
Kalle;Loginov;M;1963-03-23;2014-12-05;;;
Veera;Treier;N;1980-05-09;2005-10-26;;;
Katre;Pärnpuu;N;1921-08-24;0000-00-00;Vetepere;küla;Järvamaa
Regiina;Jõesaar;N;2005-12-01;2017-09-17;;;
Indrek;Treier;M;1970-03-23;0000-00-00;Kanavere;küla;Harjumaa
Peeter;Moor;M;1911-11-28;0000-00-00;Sarvemäe;küla;Põlvamaa
Karl Gustav;Reinsalu;M;1906-02-09;1920-12-05;;;
Alondra;Vahtra;N;1979-08-05;0000-00-00;Jõelähtme;küla;Harjumaa
Alexander;Ploom;M;2013-11-20;2016-02-11;;;
Merje;Silm;N;1914-02-14;1946-11-27;;;
Piia;Kikas;N;1947-01-28;0000-00-00;Jõksi;küla;Põlvamaa
Lisete;Grigorieva;N;1976-05-17;0000-00-00;Pilistvere;küla;Viljandimaa
Rita;Matvejev;N;1950-09-07;1965-04-17;;;
Keiri;Link;N;1959-11-17;1981-09-05;;;
Siim;Maripuu;M;1905-09-09;0000-00-00;Meeri;küla;Tartumaa
Joosep;Kohv;M;1960-12-25;2011-07-24;;;
Kaidar;Pärn;M;1988-09-27;1996-04-20;;;
Rahel;Belov;N;1949-09-14;2004-05-17;;;
Innar;Puusepp;M;1944-01-30;1996-11-28;;;
Filipp;Rosin;M;1994-09-12;2016-12-29;;;
Eliisabeth;Maslov;N;1903-12-03;1986-07-01;;;
Sirje;Zujev;N;1912-07-13;0000-00-00;Undama;küla;Hiiumaa
Jarmo;Kangro;M;2000-02-04;2005-09-02;;;
Silvar;Lehtmets;M;2010-11-29;0000-00-00;Veske;küla;Saaremaa
Aile;Müür;N;2018-08-16;2019-05-06;;;
Getrin;Volkov;N;1949-02-06;2017-10-01;;;
Kunnar;Kivi;M;1945-10-20;1998-08-09;;;
Meeli;Annus;N;2008-03-01;0000-00-00;Toomalõuka;küla;Saaremaa
Üllar;Villemson;M;2011-06-22;0000-00-00;Palupera;küla;Valgamaa
Igor;Jõesaar;M;1915-10-21;1969-04-21;;;
Margarita;Käär;N;1925-08-31;0000-00-00;Aabra;küla;Võrumaa
Tobias;Koitla;M;1994-07-29;0000-00-00;Liivi;küla;Läänemaa
Marianne;Paap;N;1954-10-07;1977-04-20;;;
Elisabeth;Kaljuvee;N;2016-12-18;2017-08-26;;;
Gerly;Baskin;N;1924-07-29;2010-09-23;;;
Martti;Kattai;M;2001-12-12;0000-00-00;Karste;küla;Põlvamaa
Betti;Mäeots;N;1970-01-02;0000-00-00;Nõmpa;küla;Saaremaa
Michael;Panov;M;1913-08-12;0000-00-00;Natturi;küla;Lääne-Virumaa
Egert;Rätsep;M;1956-04-16;1987-06-17;;;
Marika;Kirillov;N;1909-09-03;1978-08-06;;;
Voldemar;Baskin;M;2012-10-11;0000-00-00;Mäliste;küla;Raplamaa
Marion;Sarv;N;1991-11-06;1996-02-03;;;
Karin;Vinogradov;N;2009-01-20;0000-00-00;Leesi;küla;Harjumaa
Laur;Vähi;M;1932-04-24;1935-09-24;;;
Christian;Mikk;M;1946-01-31;0000-00-00;Laoküla;küla;Saaremaa
Kunnar;Hunt;M;1954-10-12;1970-04-01;;;
Adrian;Lauri;M;1960-03-24;0000-00-00;Rabivere;küla;Raplamaa
Vladislav;Kukk;M;1927-10-16;1959-06-02;;;
Reiko;Medvedev;M;1991-10-29;1997-11-12;;;
Trevor;Laks;M;1996-03-28;0000-00-00;Listaku;küla;Võrumaa
Üllar;Orav;M;1912-06-26;1968-07-27;;;
Yury;Kallas;M;1963-04-04;0000-00-00;Koolmajärve;küla;Põlvamaa
Taavi;Friedman;M;1964-06-05;0000-00-00;Pornuse;küla;Viljandimaa
Kaia;Ivask;N;2009-05-18;0000-00-00;Tammejärve;küla;Harjumaa
Marit;Männiste;N;1977-01-16;0000-00-00;Majala;küla;Tartumaa
Lars;Kaasik;M;1962-04-29;2013-05-31;;;
Gertu;Raadik;N;2004-06-25;2017-01-01;;;
Karl;Kudrjavtsev;M;1977-07-18;2008-10-01;;;
Aaron;Kasak;M;2012-11-10;0000-00-00;Võpolsova;küla;Põlvamaa
Katariina;Sutt;N;1958-12-07;1971-11-01;;;
Eliisabeth;Paju;N;1990-03-07;2000-01-01;;;
Adelina;Pihelgas;N;1966-09-15;0000-00-00;Kakumäe;küla;Lääne-Virumaa
Anatoli;Pruul;M;1901-04-09;0000-00-00;Kõidama;küla;Viljandimaa
Rünno;Pruul;M;1983-03-10;2001-08-25;;;
Jan;Green;M;1992-05-24;0000-00-00;Vilama;küla;Harjumaa
Deniss;Kirillov;M;1917-02-22;0000-00-00;Pikevere;küla;Lääne-Virumaa
Silva;Teesalu;N;1959-09-08;0000-00-00;Sõmeru;küla;Harjumaa
Yury;Fedorov;M;1981-05-28;0000-00-00;Hilana;küla;Võrumaa
Arnold;Paas;M;2003-01-10;0000-00-00;Rangu;küla;Raplamaa
Viktoriya;Tamme;N;2001-06-06;0000-00-00;Paevere;küla;Saaremaa
Aimar;Väli;M;2008-08-15;0000-00-00;Porkuni;küla;Lääne-Virumaa
Tõnis;Peterson;M;1913-01-05;0000-00-00;Liiapeksi;küla;Harjumaa
Tomi;Pavlov;M;1922-10-21;1986-01-17;;;
Tenno;Sibul;M;1967-07-11;1976-05-10;;;
Sabrina;Kalamees;N;1961-11-08;1979-03-12;;;
Evelin;Aru;N;1919-02-19;2007-01-23;;;
Kristlin;Taal;N;1901-07-10;2018-10-29;;;
Miikael;Konstantinov;M;1979-05-30;0000-00-00;Pada;küla;Lääne-Virumaa
Hannah;Merila;N;1960-10-01;2011-07-19;;;
Oliivia;Raidma;N;1985-06-03;0000-00-00;Kargaja;küla;Tartumaa
Merje;Põdra;N;1949-07-01;0000-00-00;Laukna;küla;Raplamaa
Katerina;Sutt;N;1944-11-26;0000-00-00;Lota;küla;Valgamaa
Karoli;Gusev;N;2015-05-01;2017-10-26;;;
Viivika;Markson;N;1951-03-28;0000-00-00;Lilu;küla;Jõgevamaa
Krislin;Jalakas;N;1996-11-30;2001-01-21;;;
Ksenia;Laas;N;1965-05-21;0000-00-00;Pällastvere;küla;Järvamaa
Yury;Jegorov;M;1902-07-21;1969-10-11;;;
Annela;Sepp;N;1947-12-10;0000-00-00;Külma;küla;Võrumaa
Helar;Rumjantsev;M;1978-09-26;1989-02-04;;;
Alexandra;Sibul;N;1960-12-30;0000-00-00;Rannaküla;küla;Saaremaa
Matis;Tuul;M;1939-01-17;1967-09-21;;;
Xenia;Männik;N;1910-07-31;0000-00-00;Pae;küla;Raplamaa
Mark;Anderson;M;2003-02-07;2018-09-24;;;
Karoliine;Klein;N;1995-02-06;2003-08-19;;;
Ilja;Jakobson;M;1912-02-17;0000-00-00;Kusma;küla;Võrumaa
Ragnar;Kivilo;M;1937-03-28;0000-00-00;Küllätüvä;küla;Võrumaa
Amanda;Jaanus;N;1942-05-10;2009-01-09;;;
Julia;Salumets;N;1916-09-30;1971-03-29;;;
Joosep;Allas;M;1972-01-23;0000-00-00;Ellakvere;küla;Jõgevamaa
Janeli;Baranov;N;2011-11-29;0000-00-00;Mäo;küla;Järvamaa
Kennet;Jaanson;M;1954-04-09;2002-08-22;;;
Taavo;Vorobjov;M;1924-03-18;1961-03-01;;;
Miko;Frolov;M;1915-09-23;0000-00-00;Võlli;küla;Pärnumaa
Alvar;Laht;M;1928-11-20;1943-02-01;;;
Ivo;Medvedev;M;1939-06-30;0000-00-00;Liivakünka;küla;Ida-Virumaa
Sofia;Kütt;N;1929-07-03;1963-03-08;;;
Jekaterina;Lehtla;N;1979-03-09;2006-04-14;;;
Stina;Viik;N;2003-03-10;0000-00-00;Kaagjärve;küla;Valgamaa
Ksenia;Õispuu;N;1931-09-09;1980-06-16;;;
Carmel;Pikk;N;1917-08-14;0000-00-00;Saksaküla;küla;Viljandimaa
Maribel;Mironov;N;1944-01-13;2002-09-16;;;
Verner;Beljajev;M;1934-12-22;0000-00-00;Laheva;küla;Läänemaa
Tambet;Kont;M;1941-08-11;0000-00-00;Veltsa;küla;Pärnumaa
Christopher;Michelson;M;1935-06-05;0000-00-00;Koogi;küla;Jõgevamaa
Pärtel;Gavrilov;M;2008-07-01;0000-00-00;Hiietse;küla;Raplamaa
Rünno;Klavan;M;1915-10-04;0000-00-00;Miila;küla;Lääne-Virumaa
Geidi;Herodes;N;1911-06-01;0000-00-00;Tamsalu;linn;Lääne-Virumaa
Age;Gontšarov;N;1987-07-30;2003-11-06;;;
Alo;Saar;M;1975-05-11;0000-00-00;Liva;küla;Valgamaa
Gabriel;Mark;M;1974-04-06;1995-09-13;;;
Tairo;Kaljula;M;1938-03-04;1978-07-17;;;
Saamuel;Kutsar;M;2006-01-26;2008-11-22;;;
Janne;Männik;N;1990-07-12;0000-00-00;Märjamaa;alev;Raplamaa
Marily;Liiva;N;2005-11-01;2006-11-26;;;
Paul;Kalda;M;2005-07-01;0000-00-00;Kõlunõmme;küla;Hiiumaa
Carol;Gorbunov;N;1909-02-02;1918-01-23;;;
Henrik;Luiga;M;1917-01-02;0000-00-00;Vaarkali;küla;Võrumaa
Ardo;Laan;M;1909-12-05;0000-00-00;Käesalu;küla;Harjumaa
Vjatšeslav;Ader;M;1977-04-25;0000-00-00;Luidja;küla;Hiiumaa
Nele-Liis;Pajula;N;1941-07-25;0000-00-00;Rangu;küla;Raplamaa
Ivo;Kadak;M;1915-10-01;1990-12-13;;;
Tony;Kalmus;M;1904-04-25;0000-00-00;Metsküla;küla;Viljandimaa
Riko;Jänes;M;1946-03-26;0000-00-00;Parila;küla;Harjumaa
Merlyn;Štšerbakov;N;1912-03-03;0000-00-00;Sigala;küla;Hiiumaa
Doris;Vaht;N;1918-06-08;1987-03-04;;;
Victor;Õun;M;1996-01-15;0000-00-00;Laoküla;küla;Saaremaa
Arles;Aasa;M;1931-02-20;0000-00-00;Vastse-Kuuste;alevik;Põlvamaa
Adelina;Jürgenson;N;1942-11-29;1961-12-05;;;
Joonatan;Leppik;M;1951-01-27;0000-00-00;Vanaussaia;küla;Tartumaa
Marek;Järve;M;1909-01-01;0000-00-00;Laanemetsa;küla;Valgamaa
Svjatoslav;Sidorov;M;1993-04-11;2004-07-10;;;
Rein;Järvekülg;M;1920-09-05;1956-12-29;;;
Sabina;Krõlov;N;1945-12-22;1988-03-20;;;
Maire;Krõlov;N;1977-12-22;0000-00-00;Hulaku;küla;Võrumaa
Stella;Kangur;N;1921-05-01;1968-01-08;;;
Rostislav;Raja;M;1958-04-13;2002-07-10;;;
Fred;Ernits;M;1914-05-08;0000-00-00;Sakla;küla;Hiiumaa
Mihhail;Lomp;M;1947-12-03;1989-02-06;;;
Andres;Luts;M;1947-02-28;0000-00-00;Kuksina;küla;Võrumaa
Eleanora;Valge;N;1977-05-08;2012-10-07;;;
Maria;Erm;N;1953-11-10;0000-00-00;Karksi-Nuia;linn;Viljandimaa
Laureen;Lunin;N;1903-04-20;0000-00-00;Aasumetsa;küla;Lääne-Virumaa
Ketrin;Suvorov;N;1967-05-28;2007-07-17;;;
Jargo;Jakovlev;M;1949-09-13;1977-03-02;;;
Sören;Kallas;M;2001-12-26;2015-04-19;;;
Vivian;Põder;N;1942-05-17;1999-11-30;;;
Risto;Teder;M;1907-05-12;1935-07-14;;;
Elen;Teearu;N;2015-12-06;0000-00-00;Talila;küla;Saaremaa
Klim;Viks;M;1967-06-26;1972-08-11;;;
Lauren;Tõnisson;N;1987-04-09;2009-07-12;;;
Žanna;Kodres;N;1936-04-06;0000-00-00;Nõmme;küla;Saaremaa
Laureen;Kelder;N;1974-05-04;2016-08-31;;;
Oscar;Jõesaar;M;1919-05-27;1990-02-26;;;
Kairi;Remmel;N;1987-11-04;2009-11-06;;;
Arti;Väli;M;1927-03-30;0000-00-00;Lassi;küla;Hiiumaa
Henry;Lukin;M;1950-01-06;0000-00-00;Pikva;küla;Harjumaa
Anett;Tuulik;N;1901-10-11;2015-11-30;;;
Hannabel;Sulg;N;1961-05-03;0000-00-00;Litvina;küla;Põlvamaa
Anthony;Laine;M;1914-01-13;1993-05-01;;;
Liia;Sirel;N;1925-10-08;1978-12-11;;;
Irina;Tiik;N;1975-02-03;1981-12-23;;;
Antti;Titov;M;1920-04-30;0000-00-00;Põdruse;küla;Lääne-Virumaa
Cevin;Konstantinov;M;1928-08-26;1951-06-15;;;
Doris;Bondarenko;N;1955-09-26;1974-11-14;;;
Serafima;Pent;N;1935-01-31;1997-11-04;;;
Jennifer;Martin;N;1951-03-05;2015-09-24;;;
Meriliis;Tomson;N;1919-07-23;0000-00-00;Illuka;küla;Ida-Virumaa
Reti;Valk;N;1943-12-01;1970-05-10;;;
Veronika;Ševtšenko;N;1975-10-13;1992-06-06;;;
Enar;Andreev;M;1903-10-03;2014-04-20;;;
Leonid;Sobolev;M;1930-07-04;2000-01-05;;;
Mariin;Kriisa;N;1923-06-04;1980-07-16;;;
Gerly;Mürk;N;1974-09-13;0000-00-00;Kurna;küla;Harjumaa
Karl Johan;Siim;M;1948-10-02;1958-12-21;;;
Toivo;Raidma;M;1900-10-19;1966-08-10;;;
Viivika;Beljajev;N;1981-12-29;2004-03-16;;;
Jargo;Abderhalden;M;2014-11-22;0000-00-00;Rimmu;küla;Viljandimaa
Kristiine;Tamm;N;2016-10-09;0000-00-00;Vihasoo;küla;Harjumaa
Gloria;Aasa;N;1948-05-28;1980-07-20;;;
Joonatan;Tamberg;M;1932-05-29;1983-10-27;;;
Kardo;Juhkam;M;1957-06-07;0000-00-00;Raka;küla;Järvamaa
Dagmar;Ernits;N;1937-06-27;2019-09-24;;;
Mihhail;Laks;M;1998-08-30;0000-00-00;Kuningvere;küla;Tartumaa
Triinu-Liis;Kala;N;1929-02-03;1982-12-27;;;
Enely;Toome;N;1916-08-17;1973-03-24;;;
Katri;Sokk;N;1963-09-05;1985-09-24;;;
Elena;Jegorov;N;1953-05-25;1990-09-22;;;
Eike;Nurm;N;1992-06-23;1996-04-26;;;
Berit;Arro;N;1976-10-01;0000-00-00;Naissoo;küla;Pärnumaa
Olev;Kirss;M;1946-10-01;0000-00-00;Kiirassaare;küla;Saaremaa
Vallo;Kiik;M;2012-03-01;2013-05-10;;;
Yana;Kalinin;N;1918-12-24;2000-12-26;;;
Markel;Markus;M;1907-06-25;1979-03-02;;;
Lilian;Rosin;N;1943-03-08;1949-12-24;;;
Kaupo;Laas;M;1945-06-26;1994-01-16;;;
Tõnu;Abderhalden;M;1973-05-30;0000-00-00;Horosuu;küla;Võrumaa
Julius;Hanson;M;1960-08-31;0000-00-00;Kaarma;küla;Saaremaa
Merlyn;Tammet;N;1919-01-11;1933-08-14;;;
Magnus;Männik;M;1911-04-13;0000-00-00;Jauni;küla;Saaremaa
Heidi;Anton;N;1928-08-20;2012-02-24;;;
Anastassia;Aun;N;1980-05-05;0000-00-00;Allikõnnu;küla;Pärnumaa
Viktorija;Müürsepp;N;1972-10-19;0000-00-00;Hiievälja;küla;Saaremaa
Annette;Lepik;N;1995-04-12;2008-04-23;;;
Keven;Roos;M;1960-06-24;2008-05-08;;;
Laureen;Põdra;N;1943-06-27;0000-00-00;Tähemaa;küla;Tartumaa
Brigitta;Kostin;N;1926-12-27;1967-04-12;;;
Evgeniya;Aleksandrov;N;1962-05-30;2016-07-16;;;
Evert;Põllu;M;1963-04-04;0000-00-00;Taali;küla;Pärnumaa
Kristopher;Kuznetsov;M;1914-11-13;2019-04-26;;;
Elar;Mann;M;1984-04-18;0000-00-00;Lannuste;küla;Läänemaa
Karl Kristjan;Klein;M;1990-08-13;1998-05-13;;;
Tenno;Konovalov;M;1990-08-30;2003-11-17;;;
Astrid;Krõlov;N;1976-06-23;0000-00-00;Ratla;küla;Saaremaa
Karl Erik;Tuisk;M;1906-12-23;1938-09-20;;;
Joanna;Reimann;N;1924-10-26;0000-00-00;Kükitaja;küla;Tartumaa
Krislin;Tooming;N;1942-12-09;1973-04-04;;;
Karoliina;Dmitriev;N;1965-05-15;0000-00-00;Liiva;küla;Saaremaa
Eliisabeth;Mihhailov;N;1974-10-14;0000-00-00;Karinu;küla;Järvamaa
Artem;Soo;M;1954-09-11;2011-12-01;;;
Valerija;Afanasjev;N;1967-03-04;2012-01-23;;;
Elizabet;Pajula;N;2003-11-29;0000-00-00;Hilana;küla;Võrumaa
Tristan;Rätsep;M;1971-12-02;2017-07-11;;;
Urmet;Laane;M;2011-06-18;0000-00-00;Keskranna;küla;Saaremaa
Jane-Ly;Pihelgas;N;1911-03-07;1924-10-25;;;
Kendra;Hein;N;1983-10-17;0000-00-00;Kotlandi;küla;Saaremaa
Andris;Jermakov;M;1901-03-28;0000-00-00;Lõuka;küla;Pärnumaa
Liisbeth;Simm;N;1969-09-10;0000-00-00;Kihme;küla;Järvamaa
Kristlin;Marksoo;N;1945-05-04;1975-03-27;;;
Daaniel;Kant;M;1959-02-23;0000-00-00;Kaatermu;küla;Ida-Virumaa
Marvin;Kolberg;M;1957-01-02;1997-01-19;;;
Fredy;Vähi;M;1929-01-19;2016-02-29;;;
Paula;Ernits;N;1942-02-06;1957-08-31;;;
Evert;Kalda;M;1935-01-18;0000-00-00;Auvere;küla;Ida-Virumaa
Ragne;Jõgi;N;1990-05-06;0000-00-00;Saukse;küla;Lääne-Virumaa
Älis;Piho;N;1996-06-02;2015-04-10;;;
Caroly;Baskin;N;1915-02-05;0000-00-00;Pastaku;küla;Valgamaa
Kregor;Jõgi;M;1964-04-26;1998-03-13;;;
Annemari;Pent;N;1919-08-08;0000-00-00;Meelva;küla;Läänemaa
Jane;Kriisa;N;1905-07-28;0000-00-00;Rausvere;küla;Ida-Virumaa
Vivian;Tamberg;N;1937-04-22;1966-11-22;;;
Ene;Kull;N;1945-01-19;2017-06-26;;;
Timofei;Pikk;M;2001-05-30;2012-11-05;;;
Mariana;Tamme;N;1988-06-29;0000-00-00;Läpi;küla;Lääne-Virumaa
Dominik;Friedman;M;1937-07-01;0000-00-00;Roodu;küla;Ida-Virumaa
Geir;Mänd;M;1924-05-15;1939-09-25;;;
Aet;Laan;N;1980-03-21;0000-00-00;Koki;küla;Saaremaa
Lisanna;Sööt;N;1946-06-30;0000-00-00;Ülejõe;küla;Harjumaa
Egle;Paas;N;1981-09-20;0000-00-00;Kosu;küla;Harjumaa
Risto;Pihlak;M;1935-04-14;0000-00-00;Rokina;küla;Võrumaa
Sirly;Lipp;N;1956-08-07;1984-02-09;;;
Ele;Kaur;N;1987-03-28;2014-09-26;;;
Marlon;Lumi;M;1985-05-22;0000-00-00;Punsa;küla;Võrumaa
Marianne;Järvesaar;N;1925-05-09;1993-07-04;;;
Melani;Kazakov;N;1918-09-14;0000-00-00;Koksi;küla;Saaremaa
Nikita;Laur;M;1980-04-20;0000-00-00;Purka;küla;Võrumaa
Katja;Remmel;N;2006-09-12;0000-00-00;Ereda;küla;Ida-Virumaa
Ats;Ruus;M;1936-12-05;0000-00-00;Palo;küla;Võrumaa
Ander;Mikelsaar;M;1946-07-15;0000-00-00;Ogandi;küla;Hiiumaa
Kauri;Merisaar;M;1938-09-15;1982-12-07;;;
Tenno;Saks;M;1940-07-30;0000-00-00;Süvalepa;küla;Jõgevamaa
Meriliis;Schmidt;N;1965-09-16;1995-09-18;;;
Leelo;Mürk;N;1968-06-19;2015-05-19;;;
Karl Martin;Truu;M;1928-02-14;0000-00-00;Virla;küla;Harjumaa
Ketrin;Sarv;N;1968-12-05;1995-04-02;;;
Ivika;Paap;N;1956-08-04;0000-00-00;Saksaküla;küla;Viljandimaa
Urmo;Baskin;M;1975-11-21;0000-00-00;Karjaküla;alevik;Harjumaa
Külli;Lapin;N;1951-04-22;2004-11-11;;;
Karl-Martin;Gusev;M;1943-08-06;0000-00-00;Hosby;küla;Läänemaa
Keiu;Sander;N;1983-03-03;0000-00-00;Ulja;küla;Hiiumaa
Keiri;Pulk;N;1995-01-29;0000-00-00;Atla;küla;Saaremaa
Üllar;Jänes;M;1916-05-24;0000-00-00;Karjasoo;küla;Viljandimaa
Tairo;Suits;M;1977-05-02;0000-00-00;Hara;küla;Läänemaa
Ekaterina;Gromov;N;1912-09-12;0000-00-00;Piipsemäe;küla;Võrumaa
Arvo;Sergejev;M;1937-07-26;1958-08-05;;;
Kristlin;Medvedev;N;1944-02-25;0000-00-00;Põhara;küla;Pärnumaa
Helerin;Kirs;N;1981-11-26;0000-00-00;Taritu;küla;Saaremaa
Ilona;Lumi;N;2002-10-10;2018-04-24;;;
Dagne;Konovalov;N;1971-07-19;0000-00-00;Taheva;küla;Valgamaa
Gabriel;Pajula;M;1938-06-19;0000-00-00;Pulgoja;küla;Pärnumaa
Simmo;Kink;M;1976-11-25;2011-01-09;;;
Karl-Kristjan;Sillaste;M;2011-03-04;0000-00-00;Koidu;küla;Saaremaa
Karmen;Mikelsaar;N;1989-01-30;0000-00-00;Mõnuste;küla;Harjumaa
Keiti;Mäesalu;N;1990-07-30;0000-00-00;Tareste;küla;Hiiumaa
Reimo;Sidorov;M;1902-01-08;0000-00-00;Tserebi;küla;Võrumaa
Mikk;Vain;M;1914-08-02;1944-01-24;;;
Gerli;Oras;N;1911-07-14;1916-09-11;;;
Daniella;Powell;N;1966-04-28;0000-00-00;Võlla;küla;Pärnumaa
Milana;Valge;N;1937-02-03;1949-07-25;;;
Dagne;Mölder;N;1973-08-03;2002-10-28;;;
Tarvi;Koit;M;1903-05-30;0000-00-00;Kanama;küla;Harjumaa
Karol;Komarov;M;1921-12-03;1944-10-06;;;
Rinat;Jaakson;M;1927-10-07;1998-07-13;;;
Eliza;Lõhmus;N;1979-09-07;1982-01-15;;;
Steven;Iljin;M;1965-09-10;0000-00-00;Säästla;küla;Pärnumaa
German;Teearu;M;1919-02-02;2018-04-09;;;
Vallo;Paap;M;1909-06-14;0000-00-00;Palupere;küla;Jõgevamaa
Gendra;Leis;N;1936-03-21;0000-00-00;Hannuste;küla;Võrumaa
Simo;Kelder;M;1914-09-10;1972-08-29;;;
Heikki;Valge;M;1944-01-19;1965-01-11;;;
Getter;Mändla;N;1951-11-15;0000-00-00;Vilivalla;küla;Hiiumaa
Johan;Roosileht;M;1939-07-15;2015-05-17;;;
Mihkel;Susi;M;1943-12-01;0000-00-00;Kodijärve;küla;Tartumaa
Maiu;Mann;N;1950-08-29;1983-12-06;;;
Anete;Kirsipuu;N;2016-07-01;0000-00-00;Tartu;Linn;Tartumaa
Reeli;Schmidt;N;1926-05-25;0000-00-00;Kodeste;küla;Hiiumaa
Katre;Juhkam;N;1933-01-03;1990-07-07;;;
Evgeniya;Põldma;N;1975-09-01;2012-05-17;;;
Anastasia;Popov;N;1989-12-07;2004-03-12;;;
Maarjo;Aru;M;1976-04-15;0000-00-00;Lähkma;küla;Pärnumaa
Taivo;Merila;M;2013-02-13;2019-09-15;;;
Enri;Männiste;M;1901-12-29;1954-08-29;;;
Maarja-Liisa;Egorov;N;1945-10-15;0000-00-00;Möldre;küla;Valgamaa
Sven;Rumjantsev;M;1939-08-09;1974-11-01;;;
Tatiana;Aus;N;2018-09-27;2019-03-29;;;
Kiur;Org;M;2011-11-17;0000-00-00;Türju;küla;Saaremaa
Andri;Arrak;M;1938-01-23;0000-00-00;Saare;küla;Tartumaa
Katja;Reimann;N;1944-09-30;0000-00-00;Muraste;küla;Harjumaa
Saamuel;Tihhomirov;M;1943-10-16;1949-12-04;;;
Karl-Erik;Nõmmik;M;2013-02-11;2014-12-30;;;
Saara;Täht;N;1931-04-17;0000-00-00;Märjamaa;alev;Raplamaa
Anabel;Gross;N;1912-07-03;0000-00-00;Laatre;alevik;Valgamaa
Kristiine;Sild;N;1997-12-05;2009-09-07;;;
Veroonika;Jürgens;N;1943-09-29;0000-00-00;Muuksi;küla;Harjumaa
Gertrud;Filippov;N;1964-12-12;1974-05-30;;;
Kadi-Liis;Kask;N;2015-05-01;2017-11-05;;;
Taaniel;Allas;M;2003-08-23;0000-00-00;Oe;küla;Võrumaa
Inge;Lepik;N;1991-08-11;0000-00-00;Värati;küla;Pärnumaa
Ago;Männik;M;1993-06-04;2000-11-26;;;
Enely;Põldmaa;N;1942-05-16;0000-00-00;Kaevussaare;küla;Ida-Virumaa
Anti;Annus;M;1927-08-30;1958-01-20;;;
Jaana;Randmaa;N;1976-08-13;1981-02-04;;;
Keily;Paap;N;2015-07-06;2018-07-14;;;
Annett;Jegorov;N;1992-04-14;0000-00-00;Kuusalu;küla;Harjumaa
Riina;Naumov;N;2017-02-15;2018-09-30;;;
Karola;Põllu;N;1929-05-05;2000-12-14;;;
Uljana;Kokk;N;1938-12-21;0000-00-00;Pajusi;küla;Jõgevamaa
Regina;Roosileht;N;1943-01-27;2015-12-23;;;
Olev;Kukk;M;1974-09-23;0000-00-00;Tõnissaare;küla;Viljandimaa
Renno;Korol;M;1964-05-22;0000-00-00;Ussimäe;küla;Lääne-Virumaa
Gloria;Medvedev;N;1937-01-01;0000-00-00;Lossiküla;küla;Valgamaa
Tairo;Loginov;M;1924-01-31;1936-07-16;;;
Gea;Karro;N;1999-03-16;2003-03-04;;;
Artur;Sild;M;1923-09-06;1940-09-25;;;
Erki;Abderhalden;M;1971-03-01;1997-03-28;;;
Nika;Kaljurand;N;1939-11-08;0000-00-00;Vao;küla;Lääne-Virumaa
Marit;Baranov;N;1939-06-08;0000-00-00;Kasemetsa;küla;Harjumaa
Keiri;Raud;N;2014-10-21;2017-09-05;;;
Krete;Kaljuste;N;2010-03-13;2012-11-25;;;
Karel;Uibo;M;1933-10-28;0000-00-00;Jõgela;küla;Saaremaa
Renno;Hunt;M;1902-04-25;0000-00-00;Näsuvere;küla;Järvamaa
Gregory;Egorov;M;2015-04-18;2019-06-09;;;
Aigar;Miller;M;1992-08-30;2017-10-11;;;
Alisa;Lipp;N;1924-03-22;2016-06-30;;;
Janari;Meister;M;2004-03-04;2014-05-14;;;
Carolin;Konstantinov;N;2003-06-27;2014-05-18;;;
